euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
-0.0080,0.0048,0.0507,-0.1827,-0.1396,-3.1022,0.0063,-0.0042,3.1416,0.0000,0.0203,0.0812,-9.7780,-0.0023,0.0042,0.0036,0.0404,0.0741,-9.8270,0.0018,0.0002,-0.0023,0.0173,0.1159,-9.7632,0.0015,0.0025,0.0035,-0.0020,0.1133,-9.8444,0.0056,-0.0037,0.0181,0.0000,0.0245,-0.0164,-0.0032,0.0000,0.0000,0.0000,0.0000,-205.615082,177.511292,51.192871,-26.157711,24.005690,5.642944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19183724,0,19182465,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0122,-0.0122,0.0516,-0.1830,-0.1391,-3.1019,0.0063,-0.0042,3.1416,0.0000,0.0396,0.0455,-9.7534,-0.0002,0.0030,0.0011,-0.0046,0.0545,-9.7849,0.0022,-0.0036,-0.0061,-0.2939,-0.2624,-9.9500,0.0001,0.0041,-0.0120,0.4524,0.0092,-9.9144,0.0000,-0.0091,-0.0130,0.0000,0.0312,0.0124,-0.0031,152.1660,0.0000,0.0000,24.2225,-208.472977,180.136078,51.809196,-26.312675,24.184744,5.672715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19431994,0,19431235,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0119,-0.0114,0.0516,-0.1829,-0.1391,-3.1020,0.0063,-0.0042,3.1416,0.0000,0.0623,0.1065,-9.7705,0.0010,0.0037,-0.0141,0.0695,0.1346,-9.8086,0.0055,-0.0053,-0.0181,0.3453,0.2284,-9.8782,0.0009,-0.0004,-0.0040,-0.2552,0.0702,-10.0617,0.0069,0.0021,-0.0146,0.0000,0.0298,0.0112,-0.0015,140.8163,0.0000,0.0000,57.4672,-208.715195,180.358719,51.861416,-26.325853,24.200092,5.675486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19442197,0,19440438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0119,-0.0106,0.0515,-0.1829,-0.1391,-3.1020,0.0063,-0.0042,3.1416,0.0000,0.0696,0.1531,-9.7890,0.0010,0.0056,0.0080,0.0263,0.1306,-9.8238,0.0023,0.0043,-0.0002,0.2735,0.0130,-9.3826,-0.0060,-0.0007,0.0248,0.0627,0.2444,-9.8588,-0.0005,0.0088,0.0109,0.0000,0.0300,0.0098,-0.0028,144.5762,0.0000,0.0000,45.3016,-209.031219,180.649231,51.929539,-26.343542,24.219255,5.678757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19452697,0,19452438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0118,-0.0097,0.0517,-0.1830,-0.1390,-3.1018,0.0063,-0.0042,3.1416,0.0000,0.0181,0.0258,-9.7638,-0.0007,0.0053,0.0229,0.0839,0.0550,-9.8246,0.0031,0.0005,0.0145,0.2089,0.0752,-10.0529,-0.0039,0.0071,0.0107,0.3249,0.5748,-10.2520,0.0027,-0.0040,-0.0016,0.0000,0.0305,0.0076,-0.0051,152.0452,0.0000,0.0000,0.0000,-209.268372,180.867279,51.980659,-26.356520,24.233788,5.681260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19463197,0,19461438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0114,-0.0090,0.0518,-0.1830,-0.1389,-3.1018,0.0063,-0.0042,3.1416,0.0000,0.0148,0.0900,-9.8134,0.0017,0.0041,-0.0121,0.0037,0.0017,-9.8116,0.0015,-0.0013,-0.0172,-0.1072,-0.4012,-9.7585,-0.0052,0.0071,-0.0152,0.0878,0.3737,-10.0042,0.0056,-0.0051,-0.0181,0.0000,0.0299,0.0072,-0.0028,139.6062,0.0000,0.0000,57.7362,-209.584747,181.158203,52.048855,-26.373682,24.254017,5.684387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19473697,0,19473438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0113,-0.0081,0.0516,-0.1830,-0.1389,-3.1019,0.0063,-0.0042,3.1416,0.0000,0.0727,0.1322,-9.8132,0.0007,0.0050,-0.0047,0.0181,0.1449,-9.8509,0.0007,-0.0026,-0.0116,0.2950,0.4104,-9.4831,-0.0028,0.0007,0.0101,0.0663,0.1672,-9.5858,-0.0061,0.0000,0.0109,0.0000,0.0291,0.0055,-0.0015,128.5402,0.0000,0.0000,78.0818,-209.822174,181.376556,52.100025,-26.386684,24.268723,5.686615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19484197,0,19482438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0113,-0.0072,0.0518,-0.1830,-0.1388,-3.1018,0.0063,-0.0042,3.1416,0.0000,0.0632,0.1152,-9.7923,-0.0015,0.0065,0.0224,0.0421,0.1117,-9.8003,0.0043,-0.0006,0.0141,-0.0689,-0.1522,-9.5118,-0.0036,-0.0065,0.0155,-0.0020,-0.0537,-9.8282,-0.0202,-0.0061,0.0165,0.0000,0.0297,0.0029,-0.0050,142.1239,0.0000,0.0000,42.0291,-210.138916,181.667892,52.168282,-26.404427,24.287956,5.689863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19494697,0,19494438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0111,-0.0064,0.0519,-0.1830,-0.1387,-3.1017,0.0063,-0.0042,3.1416,0.0000,0.0381,0.0731,-9.8158,-0.0013,0.0052,0.0076,0.0450,0.0072,-9.8368,0.0010,0.0002,0.0021,-0.3298,-0.2121,-9.7608,-0.0049,0.0063,-0.0043,-0.0864,0.2013,-9.7115,0.0104,-0.0069,0.0059,0.0000,0.0292,0.0019,-0.0037,132.7446,0.0000,0.0000,65.9627,-210.376617,181.886551,52.219501,-26.417265,24.302794,5.692055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19505197,0,19503438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
-0.0108,-0.0056,0.0519,-0.1830,-0.1387,-3.1017,0.0063,-0.0042,3.1416,0.0000,0.0720,0.1137,-9.7792,-0.0006,0.0035,-0.0047,0.0333,0.1043,-9.8056,0.0011,0.0020,-0.0110,0.0077,0.2572,-9.7944,0.0025,0.0007,-0.0013,-0.2264,0.2193,-10.0060,0.0083,-0.0072,-0.0088,0.0000,0.0284,0.0011,-0.0023,122.4331,0.0000,0.0000,82.3678,-210.693726,182.178314,52.287823,-26.434557,24.322664,5.695063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,19515697,0,19515438,0,1000,1506,1504,1505,1000,1000,1505,1505,1505,1096,2008,1625,1017,1000,1000
