time_us,x,y,z,qw,qx,qy,qz
563047,-1.39129,0.542087,-0.0760989,-0.0355507,0.00550853,-0.000144751,0.9993531
596295,-1.39107,0.541995,-0.0763662,-0.0365192,0.00495548,0.00041667,0.999321
630454,-1.39097,0.542117,-0.076436,-0.0358806,0.00452436,0.00146903,0.999345
664657,-1.39104,0.542081,-0.0762036,-0.0359798,0.00297478,0.00211572,0.9993461
697305,-1.39102,0.542185,-0.0764185,-0.035669,0.00383243,0.0021021,0.999354
729995,-1.39101,0.54207,-0.0765713,-0.0362217,0.00460905,0.00101904,0.999333
763995,-1.39096,0.542132,-0.0763413,-0.0356921,0.00321364,0.00219806,0.999355
797713,-1.39095,0.542207,-0.0763486,-0.0356183,0.0030464,0.00246247,0.9993581
829897,-1.39099,0.542111,-0.0764355,-0.0355278,0.0040971,0.00263112,0.999357
863916,-1.39095,0.542203,-0.0763857,-0.035876,0.00341211,0.00155143,0.999349
896574,-1.39103,0.542166,-0.0764424,-0.0355565,0.00435613,0.00281703,0.999354
930823,-1.39093,0.54214,-0.0763726,-0.0357366,0.00297728,0.00388587,0.9993491
963789,-1.39103,0.542091,-0.076333,-0.0359725,0.003392,0.00269845,0.999343
997340,-1.39109,0.542101,-0.0764907,-0.0357397,0.00504227,0.000852682,0.999348
1030072,-1.39108,0.542142,-0.0764136,-0.0357806,0.00402178,0.00211196,0.999349
1063924,-1.39102,0.542164,-0.0764658,-0.0357606,0.00427121,0.00304973,0.9993471
1096699,-1.39106,0.54204,-0.076229,-0.0362608,0.00251898,0.00376949,0.999332
1130607,-1.39106,0.542102,-0.0763921,-0.0361997,0.00344458,0.0025976,0.999335
1163882,-1.39108,0.542168,-0.0764976,-0.0362568,0.00463592,0.00184255,0.99933
1197207,-1.39099,0.542188,-0.0764514,-0.0357266,0.00436387,0.002839,0.9993481
1230538,-1.39107,0.542064,-0.0762351,-0.0359385,0.0031783,0.00225606,0.999346
1263237,-1.39109,0.542256,-0.0763301,-0.0351686,0.00371738,0.00258278,0.999371
1297500,-1.3911,0.542206,-0.076533,-0.0356282,0.00520682,0.000847765,0.9993511
1331007,-1.39101,0.542227,-0.0763281,-0.0355311,0.00346302,0.002792,0.999359
1363992,-1.39098,0.542234,-0.0763628,-0.0356641,0.00335789,0.00281027,0.999354
1396903,-1.39098,0.542264,-0.07646,-0.0353216,0.00412873,0.00264531,0.999364
1429422,-1.39095,0.542263,-0.0764087,-0.0359351,0.00361716,0.00205847,0.9993451
1463934,-1.39106,0.542121,-0.0764531,-0.0360629,0.0048718,0.0028871,0.999334
1497438,-1.39103,0.542146,-0.0764492,-0.0360832,0.00429155,0.00299105,0.999335
1530520,-1.39098,0.542161,-0.0763198,-0.0365112,0.00281574,0.0035694,0.9993231
1564233,-1.391,0.542165,-0.0766016,-0.0364372,0.00504188,0.0017104,0.999322
1596992,-1.39103,0.5422,-0.0764238,-0.0361535,0.00407949,0.00323478,0.999333
1630894,-1.39101,0.542161,-0.0764863,-0.0361857,0.00460267,0.00326449,0.9993291
1664221,-1.39102,0.542074,-0.076251,-0.0365295,0.00322583,0.00449587,0.999317
1696480,-1.39108,0.542141,-0.0764038,-0.0358123,0.00440631,0.0032692,0.999344
1730539,-1.39105,0.542228,-0.0765344,-0.0360434,0.00521297,0.0025835,0.999333
1764162,-1.39096,0.54224,-0.0765227,-0.0358769,0.00508957,0.00393815,0.9993351
1796986,-1.391,0.542191,-0.0763325,-0.035927,0.00339064,0.00404907,0.99934
1830483,-1.39104,0.542242,-0.07645,-0.0356498,0.00438753,0.00366709,0.999348
1863784,-1.39105,0.542173,-0.0765562,-0.035965,0.00526685,0.00207188,0.999337
1896840,-1.39097,0.542186,-0.076374,-0.0360856,0.0039365,0.00345618,0.9993351
1930355,-1.39099,0.54229,-0.0762866,-0.0355539,0.00371073,0.00361848,0.999354
1964236,-1.39102,0.542235,-0.0764888,-0.0355703,0.00529019,0.00318369,0.999348
1996375,-1.39104,0.542274,-0.0763875,-0.0358381,0.0047156,0.00190793,0.999345
2030389,-1.39111,0.542202,-0.0764326,-0.0358836,0.00575862,0.00260567,0.9993361
2064335,-1.39106,0.542219,-0.0764353,-0.0358328,0.0049627,0.0028685,0.999341
2097628,-1.39106,0.5423,-0.0763081,-0.0357839,0.00377614,0.00336173,0.999347
2212350,-1.39107,0.542231,-0.076561,-0.0360381,0.0055814,0.00208559,0.9993331
2213625,-1.3911,0.542234,-0.076481,-0.0360474,0.00539135,0.00285378,0.999331
2213642,-1.39108,0.542227,-0.0764751,-0.0361301,0.00560596,0.00340894,0.999326
2230351,-1.3911,0.54211,-0.0762693,-0.0365504,0.00404822,0.00405909,0.999315
2264281,-1.39113,0.54218,-0.0763926,-0.0361621,0.00513138,0.00268435,0.999329
2297424,-1.39117,0.542295,-0.0764819,-0.0360076,0.00629591,0.00177126,0.99933
2330237,-1.39103,0.542351,-0.0764844,-0.0360311,0.00526203,0.00412516,0.9993281
2363791,-1.39108,0.542243,-0.0763484,-0.0361583,0.00420682,0.00351498,0.999331
2397101,-1.39107,0.542386,-0.0764272,-0.0357651,0.0047474,0.00396765,0.999341
2430617,-1.39105,0.54222,-0.076626,-0.0361903,0.00607479,0.0021536,0.9993241
2463252,-1.39101,0.542299,-0.0763765,-0.0358179,0.0044234,0.00372941,0.999342
2496703,-1.391,0.542311,-0.0763755,-0.0359992,0.00443326,0.00389618,0.999334
2530535,-1.39103,0.542265,-0.0764351,-0.0358954,0.00508027,0.00416316,0.999334
2563849,-1.39099,0.542332,-0.0764522,-0.0359031,0.00444604,0.00320736,0.999341
2596696,-1.39109,0.542241,-0.0764995,-0.0357283,0.00577473,0.00352794,0.999339
2630698,-1.39104,0.5422,-0.0765171,-0.0361801,0.00523252,0.00373713,0.999325
2663518,-1.39103,0.542245,-0.0764336,-0.036152,0.0045624,0.00360704,0.999329
2697044,-1.39108,0.542244,-0.0766116,-0.0360268,0.00610333,0.0023002,0.999331
2731007,-1.3911,0.542234,-0.0764949,-0.0358132,0.00568376,0.00272041,0.999339
2763294,-1.39107,0.542231,-0.0765249,-0.0358614,0.00569978,0.00366226,0.999334
2797180,-1.39109,0.54217,-0.0763203,-0.0359609,0.00424134,0.0044003,0.9993351
2830795,-1.39109,0.542252,-0.0764814,-0.0357824,0.00513966,0.00347069,0.99934
2863518,-1.39111,0.542265,-0.0764856,-0.0359002,0.00574805,0.00288459,0.999335
2896517,-1.39104,0.542266,-0.076522,-0.0359013,0.00607676,0.00426991,0.999328
2931041,-1.39109,0.54221,-0.0763391,-0.0358123,0.00463368,0.00407449,0.999341
2963885,-1.39112,0.542358,-0.0764145,-0.0351269,0.00543404,0.00351885,0.999362
2997303,-1.39107,0.542245,-0.076533,-0.0357975,0.00559999,0.00301501,0.999339
3030206,-1.39104,0.542257,-0.0763752,-0.0355114,0.00484155,0.00384686,0.99935
3062977,-1.39102,0.542298,-0.0763718,-0.0355935,0.00480998,0.00389291,0.9993471
3096637,-1.39103,0.542256,-0.0764448,-0.0351934,0.00547661,0.00451539,0.999355
3130444,-1.39099,0.542306,-0.0764497,-0.0355815,0.00501664,0.00304535,0.99935
3163373,-1.3911,0.542148,-0.0764753,-0.0356752,0.0061311,0.00371645,0.9993381
3197060,-1.39107,0.54219,-0.0764763,-0.0357122,0.00558572,0.00364823,0.99934
3230713,-1.39107,0.542211,-0.0763926,-0.0357246,0.00479824,0.00380094,0.999343
3263249,-1.3911,0.542206,-0.076574,-0.0356538,0.00641776,0.00246676,0.999341
3297544,-1.39113,0.542213,-0.076386,-0.0354706,0.00554502,0.00351236,0.9993491
3330339,-1.39113,0.542199,-0.0764458,-0.0354772,0.00606337,0.00358242,0.999346
3363450,-1.39114,0.542164,-0.0762395,-0.0354984,0.00452398,0.00439037,0.99935
3397336,-1.39108,0.542242,-0.0763643,-0.0353008,0.00455984,0.00417982,0.999358
3430339,-1.39114,0.542201,-0.0764666,-0.0355579,0.00612641,0.00309393,0.9993441
3463018,-1.39106,0.54225,-0.0764602,-0.0353908,0.00610575,0.00440539,0.999345
3497394,-1.39112,0.542161,-0.0762244,-0.0353781,0.00428052,0.00459285,0.999354
3530527,-1.3911,0.542276,-0.0763901,-0.0349598,0.00522236,0.00390894,0.9993671
3563632,-1.39104,0.542122,-0.0765974,-0.0357442,0.0063422,0.00231474,0.999338
3597439,-1.39101,0.54217,-0.0762881,-0.0354793,0.00459559,0.00417797,0.999351
3630658,-1.391,0.542291,-0.0763337,-0.035182,0.00470343,0.00425602,0.9993611
3663980,-1.39105,0.542198,-0.0764641,-0.0349779,0.0061575,0.00402171,0.999361
3697000,-1.39103,0.54229,-0.0764478,-0.035195,0.0054137,0.00306258,0.999361
